x_ang,y_ang,z_ang
4.462100000000000222e+01,1.433399999999999963e+01,1.994600000000000151e+01
4.233100000000000307e+01,1.546400000000000041e+01,2.067999999999999972e+01
4.390400000000000347e+01,1.551600000000000001e+01,2.051800000000000068e+01
4.603399999999999892e+01,1.682900000000000063e+01,2.059100000000000108e+01
4.972999999999999865e+00,1.676300000000000168e+01,2.087300000000000111e+01
2.709000000000000075e+00,1.793199999999999861e+01,2.128399999999999892e+01
4.176000000000000156e+00,1.784100000000000108e+01,2.157100000000000151e+01
6.363000000000000433e+00,1.678600000000000136e+01,2.072500000000000142e+01
9.224000000000000199e+00,1.679500000000000171e+01,2.066100000000000136e+01
7.078000000000000291e+00,1.798600000000000065e+01,2.110600000000000165e+01
8.509000000000000341e+00,1.803399999999999892e+01,2.080300000000000082e+01
1.074200000000000088e+01,1.687300000000000111e+01,2.045799999999999841e+01
1.368200000000000038e+01,1.681299999999999883e+01,2.051200000000000045e+01
1.151600000000000001e+01,1.796600000000000108e+01,2.095200000000000173e+01
1.295299999999999940e+01,1.802899999999999991e+01,2.087000000000000099e+01
1.517099999999999937e+01,1.689600000000000080e+01,2.030099999999999838e+01
1.804500000000000171e+01,1.684400000000000119e+01,2.042000000000000171e+01
1.587100000000000044e+01,1.794600000000000151e+01,2.099599999999999866e+01
1.732799999999999940e+01,1.793100000000000094e+01,2.099399999999999977e+01
1.948499999999999943e+01,1.678999999999999915e+01,2.057000000000000028e+01
2.244800000000000040e+01,1.684799999999999898e+01,2.040800000000000125e+01
2.022899999999999920e+01,1.793799999999999883e+01,2.101599999999999824e+01
2.171000000000000085e+01,1.802499999999999858e+01,2.084600000000000009e+01
2.396300000000000097e+01,1.676999999999999957e+01,2.055300000000000082e+01
2.692399999999999949e+01,1.665099999999999980e+01,2.078900000000000148e+01
2.468299999999999983e+01,1.783200000000000074e+01,2.105799999999999983e+01
2.610699999999999932e+01,1.781599999999999895e+01,2.114699999999999847e+01
2.842999999999999972e+01,1.658500000000000085e+01,2.090700000000000003e+01
3.135600000000000165e+01,1.667099999999999937e+01,2.105300000000000082e+01
2.916600000000000037e+01,1.781099999999999994e+01,2.144699999999999918e+01
3.063500000000000156e+01,1.793599999999999994e+01,2.127299999999999969e+01
3.281799999999999784e+01,1.666100000000000136e+01,2.127100000000000080e+01
3.570400000000000063e+01,1.660200000000000031e+01,2.122599999999999909e+01
3.353999999999999915e+01,1.791700000000000159e+01,2.169000000000000128e+01
3.504200000000000159e+01,1.782300000000000040e+01,2.172800000000000153e+01
