x_ang,y_ang,z_ang
8.587999999999999190e+00,8.352999999999999758e+00,1.816300000000000026e+01
1.079899999999999949e+01,7.072000000000000064e+00,1.789199999999999946e+01
1.366900000000000048e+01,7.118999999999999773e+00,1.768499999999999872e+01
1.152399999999999913e+01,8.400000000000000355e+00,1.784499999999999886e+01
1.295700000000000074e+01,8.436999999999999389e+00,1.787900000000000134e+01
1.519999999999999929e+01,7.142999999999999794e+00,1.787000000000000099e+01
1.810200000000000031e+01,7.092999999999999972e+00,1.800000000000000000e+01
1.593099999999999916e+01,8.352999999999999758e+00,1.811499999999999844e+01
1.738700000000000045e+01,8.349000000000000199e+00,1.813400000000000034e+01
1.951000000000000156e+01,7.102000000000000313e+00,1.786599999999999966e+01
2.246699999999999875e+01,7.097000000000000419e+00,1.782100000000000151e+01
2.024200000000000088e+01,8.335000000000000853e+00,1.771799999999999997e+01
2.169000000000000128e+01,8.305999999999999162e+00,1.792500000000000071e+01
2.396799999999999997e+01,7.033999999999999808e+00,1.814399999999999835e+01
2.692299999999999827e+01,6.971000000000000085e+00,1.800199999999999889e+01
2.469399999999999906e+01,8.266999999999999460e+00,1.826300000000000168e+01
2.613400000000000034e+01,8.239000000000000767e+00,1.805499999999999972e+01
2.837800000000000011e+01,6.998000000000000220e+00,1.792599999999999838e+01
3.131500000000000128e+01,7.048000000000000043e+00,1.795400000000000063e+01
2.909400000000000119e+01,8.202999999999999403e+00,1.819900000000000162e+01
3.057100000000000151e+01,8.220000000000000639e+00,1.837399999999999878e+01
3.275099999999999767e+01,7.076999999999999957e+00,1.792000000000000171e+01
3.571099999999999852e+01,6.953999999999999737e+00,1.829100000000000037e+01
3.363000000000000256e+01,8.253000000000000114e+00,1.816700000000000159e+01
3.506099999999999994e+01,8.167999999999999261e+00,1.853800000000000026e+01
3.721399999999999864e+01,6.931000000000000050e+00,1.827599999999999980e+01
4.008100000000000307e+01,7.099999999999999645e+00,1.806099999999999994e+01
3.793299999999999983e+01,8.211999999999999744e+00,1.855799999999999983e+01
3.938100000000000023e+01,8.263999999999999346e+00,1.829200000000000159e+01
4.159799999999999898e+01,7.064000000000000057e+00,1.806299999999999883e+01
4.460099999999999909e+01,7.068999999999999950e+00,1.785800000000000054e+01
4.233200000000000074e+01,8.288000000000000256e+00,1.811700000000000088e+01
4.390800000000000125e+01,8.275999999999999801e+00,1.810200000000000031e+01
2.015000000000000124e+00,9.589999999999999858e+00,1.846300000000000097e+01
4.932999999999999829e+00,9.573999999999999844e+00,1.864900000000000091e+01
2.781000000000000139e+00,1.073099999999999987e+01,1.894399999999999906e+01
4.214000000000000412e+00,1.067300000000000004e+01,1.914900000000000091e+01
6.366999999999999993e+00,9.557000000000000384e+00,1.847700000000000031e+01
9.358000000000000540e+00,9.505000000000000782e+00,1.845400000000000063e+01
7.187999999999999723e+00,1.068299999999999983e+01,1.889399999999999835e+01
8.599000000000000199e+00,1.067500000000000071e+01,1.880499999999999972e+01
1.070700000000000074e+01,9.634999999999999787e+00,1.822400000000000020e+01
1.369999999999999929e+01,9.573000000000000398e+00,1.828099999999999881e+01
1.141699999999999982e+01,1.087700000000000067e+01,1.843700000000000117e+01
1.293599999999999994e+01,1.083000000000000007e+01,1.835099999999999909e+01
1.514600000000000080e+01,9.625999999999999446e+00,1.804100000000000037e+01
1.811199999999999832e+01,9.617000000000000881e+00,1.826000000000000156e+01
1.587299999999999933e+01,1.088899999999999935e+01,1.813299999999999912e+01
1.734199999999999875e+01,1.082300000000000040e+01,1.828699999999999903e+01
1.953600000000000136e+01,9.612000000000000099e+00,1.808599999999999852e+01
2.244099999999999895e+01,9.519999999999999574e+00,1.799099999999999966e+01
2.033399999999999963e+01,1.088599999999999923e+01,1.812999999999999901e+01
2.178800000000000026e+01,1.077500000000000036e+01,1.817699999999999960e+01
2.400799999999999912e+01,9.487000000000000099e+00,1.814999999999999858e+01
2.687900000000000134e+01,9.467000000000000526e+00,1.837999999999999901e+01
2.472299999999999898e+01,1.074000000000000021e+01,1.839000000000000057e+01
2.621799999999999997e+01,1.069800000000000040e+01,1.871699999999999875e+01
2.841799999999999926e+01,9.461999999999999744e+00,1.837399999999999878e+01
3.131899999999999906e+01,9.555999999999999162e+00,1.857300000000000040e+01
2.914499999999999957e+01,1.072600000000000087e+01,1.878800000000000026e+01
3.062999999999999901e+01,1.067500000000000071e+01,1.893499999999999872e+01
3.286800000000000210e+01,9.494999999999999218e+00,1.851999999999999957e+01
3.574000000000000199e+01,9.458000000000000185e+00,1.882300000000000040e+01
3.352799999999999869e+01,1.051900000000000013e+01,1.931899999999999906e+01
3.504699999999999704e+01,1.058000000000000007e+01,1.927700000000000102e+01
3.719599999999999795e+01,9.419999999999999929e+00,1.894800000000000040e+01
4.015899999999999892e+01,9.567999999999999616e+00,1.847899999999999920e+01
3.795799999999999841e+01,1.064199999999999946e+01,1.915899999999999892e+01
3.941199999999999903e+01,1.071700000000000053e+01,1.888400000000000034e+01
4.167600000000000193e+01,9.548999999999999488e+00,1.853699999999999903e+01
4.451899999999999835e+01,9.542999999999999261e+00,1.850199999999999889e+01
4.235099999999999909e+01,1.078700000000000081e+01,1.865800000000000125e+01
4.374199999999999733e+01,1.078700000000000081e+01,1.869999999999999929e+01
4.609799999999999898e+01,1.195500000000000007e+01,1.906099999999999994e+01
4.895999999999999908e+00,1.184299999999999997e+01,1.955699999999999861e+01
2.770000000000000018e+00,1.314700000000000024e+01,1.960600000000000165e+01
4.145999999999999908e+00,1.303800000000000026e+01,1.992299999999999827e+01
6.434999999999999609e+00,1.186800000000000033e+01,1.940200000000000102e+01
9.255000000000000782e+00,1.184699999999999953e+01,1.918400000000000105e+01
7.089000000000000412e+00,1.303599999999999959e+01,1.968400000000000105e+01
